num_neurons,scores
2,0.5579268292682927
3,0.6883264766382604
4,0.8398471936526594
5,0.8428592418454305
6,0.8218116367910667
7,0.8520055833088451
8,0.8549808992065824
9,0.8549074346165149
10,0.8671760211578019
11,0.845981486923303
12,0.85185865412871
13,0.8609682632970908
14,0.8580296796943873
15,0.8670290919776668
16,0.8671760211578019
17,0.8792242139288863
18,0.8670290919776668
19,0.8610784601821921
20,0.8580664119894211
21,0.8730899206582428
22,0.845797825448134
23,0.8488466059359389
24,0.8490302674111079
25,0.8579194828092859
26,0.848993535116074
27,0.8427857772553629
28,0.870188069350573
29,0.8851748457243609
30,0.8610049955921246
31,0.8639803114898619
32,0.85185865412871
33,0.8489200705260065
34,0.864127240669997
35,0.8518219218336761
36,0.8760285042609461
37,0.8519688510138114
38,0.8821995298266235
39,0.8791507493388186
40,0.8489200705260065
41,0.8822729944166912
42,0.8610784601821921
43,0.8488833382309726
44,0.8459447546282691
45,0.8610049955921246
46,0.861115192477226
47,0.8669188950925654
48,0.8430061710255656
49,0.8518953864237437
50,0.8731633852483103
51,0.8459080223332354
52,0.8551278283867176
53,0.8671760211578019
54,0.864127240669997
55,0.8730899206582428
56,0.8700411401704379
57,0.8550176315016162
58,0.8640905083749633
59,0.8700411401704379
60,0.8158977372906259
61,0.8672127534528358
62,0.8671025565677344
63,0.8581398765794886
64,0.8852115780193947
65,0.8701146047605054
66,0.8913091389950044
67,0.8550910960916838
68,0.8822729944166912
69,0.85505436379665
70,0.85505436379665
71,0.864127240669997
72,0.8702248016456068
73,0.8763223626212165
74,0.8641639729650309
75,0.8611886570672935
76,0.870188069350573
77,0.8822729944166912
78,0.8671025565677344
79,0.8731266529532765
80,0.8549441669115486
81,0.8731633852483103
82,0.8640537760799295
83,0.8399941228327946
84,0.8369453423449897
85,0.8430796356156333
86,0.8671760211578019
87,0.8549808992065824
88,0.8462386129885395
89,0.8521525124889803
90,0.8460916838084044
91,0.8430061710255656
92,0.8611886570672935
93,0.8460549515133705
94,0.8551278283867176
95,0.8550910960916838
96,0.8399941228327946
97,0.8338965618571849
98,0.8520790478989128
99,0.8491037320011754
100,0.8338965618571849
