num_neurons,scores
2,0.5548780487804879
3,0.5822068762856304
4,0.5910960916838084
5,0.7002644725242434
6,0.7522774022920952
7,0.7214222744637084
8,0.788275051425213
9,0.751616220981487
10,0.7706068175139582
11,0.715618571848369
12,0.7424698795180723
13,0.7583014986776373
14,0.764252130473112
15,0.800580370261534
16,0.7494490155744931
17,0.7912136350279165
18,0.7401190126359094
19,0.7607258301498678
20,0.8369453423449897
21,0.7674845724360858
22,0.7339847193652659
23,0.7614237437555098
24,0.7433881868939171
25,0.7947766676461945
26,0.7703129591536879
27,0.8338230972671172
28,0.7857772553629151
29,0.8065310020570085
30,0.7976785189538642
31,0.7339847193652659
32,0.7976417866588305
33,0.7675580370261533
34,0.8218116367910667
35,0.8067146635321775
36,0.8218483690861005
37,0.7336541287099617
38,0.7735454011166617
39,0.824786952688804
40,0.7946664707610931
41,0.7948133999412283
42,0.8065310020570085
43,0.8067881281222451
44,0.7916544225683221
45,0.7552894504848664
46,0.794519541580958
47,0.8067146635321775
48,0.7766676461945342
49,0.8006538348516015
50,0.8190199823684984
51,0.8123347046723479
52,0.7675213047311196
53,0.8278724654716426
54,0.8127754922127535
55,0.8035556861592712
56,0.81303261827799
57,0.8339700264472524
58,0.7944828092859242
59,0.7765574493094328
60,0.7797531589773729
61,0.8064942697619747
62,0.8127020276226858
63,0.8096165148398472
64,0.7825448133999412
65,0.7671172494857478
66,0.7765207170143991
67,0.7826917425800763
68,0.7614604760505436
69,0.7855568615927123
70,0.8276153394064061
71,0.8158242727005584
72,0.8277990008815751
73,0.803776079929474
74,0.7703864237437554
75,0.8037026153394063
76,0.8127020276226858
77,0.7945930061710256
78,0.8307743167793123
79,0.8337496326770496
80,0.8096165148398472
81,0.7946297384660593
82,0.767631501616221
83,0.8188730531883632
84,0.8067146635321775
85,0.7977519835439318
86,0.7827284748751102
87,0.8307743167793123
88,0.8098001763150161
89,0.8098001763150161
90,0.8187995885982956
91,0.7886791066705847
92,0.7886791066705847
93,0.8702615339406405
94,0.7946664707610931
95,0.82765207170144
96,0.7826550102850426
97,0.8187995885982956
98,0.8157875404055245
99,0.8036658830443726
100,0.8008374963267705
