sigma,scores
0.001,0.7371436967381721
0.002,0.818909785483397
0.003,0.8491037320011754
0.004,0.8611886570672935
0.005,0.8672127534528358
0.006,0.870188069350573
0.007,0.8883338230972672
0.008,0.8973332353805465
0.009000000000000001,0.9124302086394358
0.01,0.9154422568322068
0.011,0.9215030855127828
0.012,0.927527181898325
0.013000000000000001,0.927527181898325
0.014,0.927527181898325
0.015,0.927527181898325
0.016,0.927527181898325
0.017,0.927527181898325
0.018000000000000002,0.927527181898325
0.019,0.927527181898325
0.02,0.927527181898325
0.021,0.927527181898325
0.022,0.9305392300910961
0.023,0.9335145459888334
0.024,0.9335145459888334
0.025,0.9335145459888334
0.026000000000000002,0.9365633264766382
0.027,0.9365633264766382
0.028,0.9365633264766382
0.029,0.9365633264766382
0.03,0.9365633264766382
0.031,0.9395753746694093
0.032,0.9425874228621804
0.033,0.9455994710549515
0.034,0.9455994710549515
0.035,0.9455994710549515
0.036000000000000004,0.9455994710549515
0.037,0.9486115192477226
0.038,0.9486115192477226
0.039,0.9486115192477226
0.04,0.9486115192477226
0.041,0.9455994710549515
0.042,0.9455994710549515
0.043000000000000003,0.9455994710549515
0.044,0.9455994710549515
0.045,0.9455994710549515
0.046,0.9455994710549515
0.047,0.9455994710549515
0.048,0.9455994710549515
0.049,0.9455994710549515
0.05,0.9486115192477226
0.051000000000000004,0.9486115192477226
0.052000000000000005,0.9516235674404937
0.053,0.9516235674404937
0.054,0.9516235674404937
0.055,0.9516235674404937
0.056,0.9486115192477226
0.057,0.9486115192477226
0.058,0.9455627387599177
0.059000000000000004,0.9455627387599177
0.06,0.9455627387599177
0.061,0.9455627387599177
0.062,0.9455627387599177
0.063,0.9425139582721128
0.064,0.9425139582721128
0.065,0.9425139582721128
0.066,0.9425139582721128
0.067,0.9395019100793418
0.068,0.9395019100793418
0.069,0.9395019100793418
0.07,0.9395019100793418
0.07100000000000001,0.9395019100793418
0.07200000000000001,0.9425139582721128
0.073,0.9425139582721128
0.074,0.9425139582721128
0.075,0.9425139582721128
0.076,0.9425139582721128
0.077,0.9395019100793417
0.078,0.9395019100793417
0.079,0.9395019100793417
0.08,0.9395019100793417
0.081,0.9395019100793417
0.082,0.9395019100793417
0.083,0.9364898618865707
0.084,0.9364898618865707
0.085,0.9364898618865707
0.08600000000000001,0.9334410813987658
0.08700000000000001,0.9304290332059947
0.088,0.9334778136937996
0.089,0.9334778136937996
0.09,0.9334778136937996
0.091,0.9304290332059947
0.092,0.9304290332059947
0.093,0.9304290332059947
0.094,0.9304290332059947
0.095,0.9304290332059947
0.096,0.9304290332059947
0.097,0.9304290332059947
0.098,0.9304290332059947
0.099,0.9304290332059947
0.1,0.9304290332059947
0.101,0.9274169850132237
0.10200000000000001,0.9274169850132237
0.10300000000000001,0.9274169850132237
0.10400000000000001,0.9243682045254188
0.105,0.9243682045254188
0.106,0.9243682045254188
0.107,0.9243682045254188
0.108,0.9243682045254188
0.109,0.9213194240376139
0.11,0.9213194240376139
0.111,0.9243314722303849
0.112,0.9273435204231559
0.113,0.9273435204231559
0.114,0.9273435204231559
0.115,0.9273435204231559
0.116,0.924294739935351
0.117,0.924294739935351
0.11800000000000001,0.924294739935351
0.11900000000000001,0.924294739935351
0.12,0.92128269174258
0.121,0.92128269174258
0.122,0.92128269174258
0.123,0.92128269174258
0.124,0.92128269174258
0.125,0.92128269174258
0.126,0.92128269174258
0.127,0.92128269174258
0.128,0.92128269174258
0.129,0.92128269174258
0.13,0.92128269174258
0.131,0.92128269174258
0.132,0.92128269174258
0.133,0.918270643549809
0.134,0.918270643549809
0.135,0.918270643549809
0.136,0.918270643549809
0.137,0.918270643549809
0.138,0.918270643549809
0.139,0.918270643549809
0.14,0.918270643549809
0.14100000000000001,0.918270643549809
0.14200000000000002,0.918270643549809
0.14300000000000002,0.918270643549809
0.14400000000000002,0.918270643549809
0.145,0.918270643549809
0.146,0.918270643549809
0.147,0.9152585953570379
0.148,0.9152585953570379
0.149,0.9152585953570379
0.15,0.912209814869233
0.151,0.912209814869233
0.152,0.912209814869233
0.153,0.9152218630620041
0.154,0.9152218630620041
0.155,0.9152218630620041
0.156,0.9152218630620041
0.157,0.9152218630620041
0.158,0.9152218630620041
0.159,0.9152218630620041
0.16,0.9152218630620041
0.161,0.9152218630620041
0.162,0.9152218630620041
